timestamp,rocm_smi:::temp_current:device=1:sensor=0,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1
0.001219,45000,45000,50000,55015510016,4,0
0.502485,44000,44000,50000,55015510016,0,0
1.003255,44000,44000,50000,55015510016,0,0
1.504478,44000,44000,50000,55015510016,0,0
2.005520,44000,44000,50000,55015510016,0,0
2.506953,44000,44000,50000,55015510016,0,0
3.007757,45000,45000,50000,55015510016,0,0
3.508531,44000,44000,50000,55015510016,0,0
4.009196,44000,44000,50000,55015510016,0,0
4.510042,44000,44000,50000,55015510016,0,0
5.010876,45000,45000,50000,55015526400,98,17
5.511887,45000,47000,52000,55015526400,100,3
6.012707,44000,44000,50000,55015526400,0,0
6.513663,45000,45000,50000,55015526400,0,0
7.014506,44000,44000,50000,55015526400,0,0
7.515374,45000,45000,50000,55015526400,0,0
8.016168,44000,44000,50000,55015526400,0,0
8.516990,45000,45000,50000,55015526400,0,0
9.017850,44000,44000,50000,55015526400,0,0
9.518776,44000,44000,50000,55015526400,0,0
10.019928,44000,44000,50000,55015526400,0,0
10.520809,45000,45000,50000,55015526400,0,0
11.021909,45000,48000,53000,55015526400,100,18
11.522902,45000,45000,51000,55015526400,0,0
12.023581,45000,45000,50000,55015538688,0,0
12.524415,45000,45000,50000,55015526400,0,0
13.025094,45000,45000,50000,55015526400,0,0
13.525939,45000,45000,50000,55015526400,0,0
14.026751,44000,44000,50000,55015526400,0,0
14.527430,45000,45000,50000,55015526400,0,0
15.028094,45000,45000,50000,55015526400,0,0
15.528736,45000,45000,50000,55015526400,0,0
16.029408,45000,45000,50000,55015526400,0,0
16.530227,45000,48000,54000,55015526400,100,19
17.031103,45000,45000,52000,55015526400,0,0
17.532136,45000,45000,51000,55015526400,0,0
18.033138,45000,45000,50000,55015526400,0,0
18.533854,45000,45000,50000,55015526400,0,0
19.034657,45000,45000,51000,55015526400,0,0
19.535445,45000,45000,50000,55015526400,0,0
20.036213,46000,46000,51000,55015526400,0,0
20.537002,45000,45000,50000,55015526400,0,0
21.037781,44000,44000,50000,55015526400,0,0
21.539396,45000,45000,50000,55015526400,0,0
22.041552,45000,47000,54000,55015526400,21,0
22.542288,45000,45000,51000,55015526400,0,0
23.042926,45000,45000,51000,55015526400,0,0
23.543558,45000,45000,51000,55015526400,0,0
24.044512,46000,46000,51000,55015526400,0,0
24.545417,45000,45000,52000,55015526400,0,0
25.046433,45000,45000,51000,55015526400,0,0
25.547885,45000,45000,52000,55015526400,0,0
26.048677,45000,45000,52000,55015526400,0,0
26.549538,45000,45000,51000,55015526400,0,0
27.050510,44000,44000,50000,55015526400,0,0
27.551545,46000,48000,54000,55015526400,100,18
28.052577,46000,46000,51000,55015526400,0,0
28.553544,45000,45000,51000,55015526400,0,0
29.054678,45000,45000,51000,55015526400,0,0
29.555604,45000,45000,51000,55015526400,0,0
30.056371,45000,45000,51000,55015526400,0,0
30.560813,46000,46000,51000,55015526400,0,0
31.061822,45000,45000,51000,55015526400,0,0
31.564237,45000,45000,51000,55015526400,0,0
32.065465,46000,46000,51000,55015526400,0,0
32.567811,45000,45000,51000,55015526400,0,0
33.070455,46000,48000,53000,55015526400,100,18
33.572830,46000,46000,51000,55015526400,0,0
34.073791,45000,45000,51000,55015526400,0,0
34.574621,46000,46000,51000,55015526400,0,0
35.075471,45000,45000,51000,55015538688,0,0
35.576851,45000,45000,51000,55015526400,0,0
36.077874,46000,46000,51000,55015526400,0,0
36.579027,45000,45000,52000,55015526400,0,0
37.080086,46000,46000,51000,55015526400,0,0
37.581230,45000,45000,51000,55015526400,0,0
38.082040,45000,45000,51000,55015526400,0,0
38.582971,45000,48000,53000,55015526400,100,17
39.084235,46000,46000,52000,55015526400,0,0
39.585272,45000,45000,51000,55015526400,0,0
40.086282,46000,46000,51000,55015526400,0,0
40.587274,45000,45000,51000,55015526400,0,0
41.088083,46000,46000,51000,55015526400,0,0
41.589250,45000,45000,51000,55015526400,0,0
42.090139,45000,45000,51000,55015526400,0,0
42.592165,46000,46000,51000,55015526400,0,0
43.093183,45000,45000,51000,55015526400,0,0
43.594192,45000,45000,51000,55015526400,0,0
44.094934,45000,47000,53000,55015526400,100,18
44.595858,46000,48000,53000,55015526400,100,1
45.096677,46000,46000,51000,55015526400,0,0
45.597496,45000,45000,51000,55015526400,0,0
46.098478,45000,45000,51000,55015526400,0,0
46.599373,45000,45000,51000,55015526400,0,0
47.100345,46000,46000,51000,55015526400,0,0
47.601363,46000,46000,51000,55015526400,0,0
48.103383,46000,46000,51000,55015526400,0,0
48.604409,46000,46000,51000,55015526400,0,0
49.105655,46000,46000,51000,55015526400,0,0
49.606670,45000,45000,51000,55015526400,0,0
50.107672,46000,49000,54000,55015526400,100,6
50.608487,46000,46000,51000,55015526400,0,0
51.109691,46000,46000,51000,55015526400,0,0
51.610811,46000,46000,51000,55015526400,0,0
52.112306,45000,45000,51000,55015526400,0,0
52.613435,45000,45000,51000,55015526400,0,0
53.114609,46000,46000,51000,55015526400,0,0
53.616015,45000,45000,51000,55015526400,0,0
54.117139,45000,45000,51000,55015526400,0,0
54.618668,45000,45000,51000,55015526400,0,0
55.119873,45000,45000,51000,55015526400,0,0
55.621254,46000,49000,54000,55015526400,100,19
56.122536,45000,45000,51000,55015526400,0,0
56.623692,46000,46000,51000,55015526400,0,0
57.124952,45000,45000,51000,55015526400,0,0
57.625998,46000,46000,51000,55015538688,0,0
58.127069,45000,45000,51000,55015526400,0,0
58.628174,46000,46000,51000,55015526400,0,0
59.129256,46000,46000,51000,55015526400,0,0
59.630369,45000,45000,51000,55015526400,0,0
60.131492,45000,45000,51000,55015526400,0,0
60.632588,45000,45000,51000,55015526400,0,0
61.133933,46000,49000,54000,55015526400,100,18
61.635492,46000,46000,51000,55015526400,0,0
62.137930,46000,46000,51000,55015526400,0,0
62.638756,45000,45000,51000,55015526400,0,0
63.139627,46000,46000,51000,55015526400,0,0
63.640493,46000,46000,51000,55015526400,0,0
64.141342,45000,45000,51000,55015526400,0,0
64.642184,45000,45000,51000,55015526400,0,0
65.143095,45000,45000,51000,55015526400,0,0
65.643869,46000,46000,51000,55015526400,0,0
66.144732,46000,46000,51000,55015526400,0,0
66.645576,46000,49000,54000,55015526400,100,18
67.146557,46000,46000,52000,55015526400,0,0
67.647445,46000,46000,51000,55015526400,0,0
68.148283,46000,46000,51000,55015526400,0,0
68.649251,46000,46000,51000,55015526400,0,0
69.150258,46000,46000,51000,55015526400,0,0
69.650969,46000,46000,51000,55015526400,0,0
70.151699,45000,45000,51000,55015526400,0,0
70.652432,45000,45000,51000,55015526400,0,0
71.153312,45000,45000,51000,55015526400,0,0
71.654337,45000,45000,51000,55015526400,0,0
72.156408,46000,48000,54000,55015526400,100,18
72.657449,46000,46000,53000,55015526400,0,0
73.158431,46000,46000,51000,55015526400,0,0
73.659455,46000,46000,51000,55015526400,0,0
74.160469,45000,45000,51000,55015526400,0,0
74.661501,46000,46000,51000,55015526400,0,0
75.162514,45000,45000,51000,55015526400,0,0
75.663542,46000,46000,51000,55015526400,0,0
76.164546,46000,46000,51000,55015526400,0,0
76.665554,46000,46000,51000,55015526400,0,0
77.166573,45000,45000,51000,55015526400,0,0
77.667644,45000,47000,53000,55015526400,97,17
78.168656,46000,46000,52000,55015526400,0,0
78.669641,46000,46000,51000,55015526400,0,0
79.170653,46000,46000,51000,55015526400,0,0
79.671675,46000,46000,51000,55015526400,0,0
80.172695,46000,46000,51000,55015526400,0,0
80.673722,46000,46000,51000,55015538688,0,0
81.174738,46000,46000,51000,55015526400,0,0
81.675765,46000,46000,51000,55015526400,0,0
82.177380,45000,45000,51000,55015526400,0,0
82.678240,46000,46000,51000,55015526400,0,0
83.179089,46000,47000,53000,55015526400,100,18
83.680042,46000,48000,53000,55015526400,9,0
84.181507,46000,46000,51000,55015526400,0,0
84.682521,46000,46000,51000,55015526400,0,0
85.183264,46000,46000,51000,55015526400,0,0
85.683999,45000,45000,51000,55015526400,0,0
86.184937,45000,45000,51000,55015526400,0,0
86.685954,46000,46000,51000,55015526400,0,0
87.186970,45000,45000,51000,55015526400,0,0
87.687766,46000,46000,51000,55015526400,0,0
88.188601,46000,46000,51000,55015526400,0,0
88.689451,45000,45000,51000,55015526400,99,18
89.190708,46000,48000,53000,55015526400,100,3
89.691522,46000,46000,51000,55015526400,0,0
90.192373,46000,46000,51000,55015526400,0,0
90.693208,46000,46000,51000,55015526400,0,0
91.194159,46000,46000,51000,55015526400,0,0
91.695269,46000,46000,51000,55015526400,0,0
92.196198,46000,46000,51000,55015538688,0,0
92.697629,45000,45000,51000,55015526400,0,0
93.198501,46000,46000,51000,55015526400,0,0
93.699321,46000,46000,51000,55015526400,0,0
94.200279,46000,46000,51000,55015526400,0,0
94.701340,46000,49000,54000,55015526400,100,18
95.202306,46000,46000,51000,55015526400,0,0
95.703407,46000,46000,51000,55015526400,0,0
96.204352,46000,46000,51000,55015526400,0,0
96.705578,46000,46000,51000,55015526400,0,0
97.206689,45000,45000,51000,55015526400,0,0
97.707823,46000,46000,51000,55015526400,0,0
98.208915,46000,46000,51000,55015526400,0,0
98.710028,45000,45000,51000,55015526400,0,0
99.211474,45000,45000,51000,55015526400,0,0
99.712685,46000,46000,51000,55015526400,0,0
100.213937,46000,49000,54000,55015526400,100,18
100.715185,45000,45000,51000,55015526400,0,0
101.216271,46000,46000,51000,55015526400,0,0
101.717570,46000,46000,51000,55015526400,0,0
102.218711,46000,46000,51000,55015526400,0,0
102.719718,46000,46000,51000,55015526400,0,0
103.220709,46000,46000,51000,55015526400,0,0
103.721721,46000,46000,51000,55015538688,0,0
104.222666,46000,46000,51000,55015526400,0,0
104.723303,46000,46000,51000,55015526400,0,0
105.223929,46000,46000,51000,55015526400,0,0
105.724744,46000,49000,54000,55015526400,100,18
106.225524,46000,46000,51000,55015526400,0,0
106.726559,46000,46000,51000,55015526400,0,0
107.227238,46000,46000,51000,55015526400,0,0
107.727876,45000,45000,51000,55015526400,0,0
108.228529,46000,46000,51000,55015526400,0,0
108.729276,46000,46000,51000,55015526400,0,0
109.230089,46000,46000,51000,55015526400,0,0
109.730851,45000,46000,51000,55015526400,0,0
110.231669,46000,46000,51000,55015526400,0,0
110.732334,45000,45000,51000,55015526400,0,0
111.232979,46000,49000,54000,55015526400,100,18
111.734007,46000,46000,53000,55015526400,0,0
112.235807,46000,46000,51000,55015526400,0,0
112.737454,46000,46000,51000,55015526400,0,0
113.238283,46000,46000,51000,55015526400,0,0
113.739237,46000,46000,51000,55015526400,0,0
114.240086,45000,45000,51000,55015526400,0,0
114.741107,46000,46000,51000,55015526400,0,0
115.241851,45000,45000,51000,55015526400,0,0
115.742559,46000,46000,51000,55015526400,0,0
116.243444,45000,45000,51000,55015526400,0,0
